"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age_grp"
"631","Age 24","Gender Female","Country United Kingdom","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"632","Age 56","Gender Male","Country United States","state MA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 56-60"
"633","Age 31","Gender Male","Country Germany","state NA","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity No","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"634","Age 34","Gender Female","Country United States","state CA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"635","Age 35","Gender Male","Country Germany","state NA","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program Yes","seek_help Don't know","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"636","Age 28","Gender Male","Country Germany","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"637","Age 36","Gender Male","Country Poland","state NA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Often","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence Yes","age_grp 36-40"
"638","Age 30","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"639","Age 35","Gender Male","Country United States","state NA","self_employed Yes","family_history No","treatment No","work_interfere NA","no_employees 1-5","remote_work Yes","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"640","Age 49","Gender Male","Country Japan","state NA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program Yes","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 41-55"
"641","Age 36","Gender Male","Country Germany","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 36-40"
"642","Age 35","Gender Male","Country Germany","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"643","Age 29","Gender Female","Country Australia","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity No","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"644","Age 57","Gender Male","Country United States","state CA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity Yes","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 56-60"
"645","Age 31","Gender Female","Country Belgium","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company No","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity No","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence Yes","age_grp 31-35"
"646","Age 37","Gender Male","Country Ireland","state NA","self_employed Yes","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"647","Age 25","Gender Male","Country Ireland","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 22-25"
